entity_name,krs,path,status,old_file_value,new_file_value
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[0].wartosc,no_change,"4000,00","4000,00"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[1].nrWpisuWprow,no_change,5,5
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[1].nrWpisuWykr,no_change,71,71
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[1].waluta,no_change,PLN,PLN
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[1].wartosc,no_change,"50000,00","50000,00"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[2].nrWpisuWprow,no_change,71,71
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[2].waluta,no_change,PLN,PLN
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.kapital.wysokoscKapitaluZakladowego[2].wartosc,no_change,"60000,00","60000,00"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.pozostaleInformacje.informacjaOCzasieNaJakiZostalUtworzonyPodmiot[0].czasNaJakiUtworzonyZostalPodmiot,no_change,NIEOZNACZONY,NIEOZNACZONY
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.pozostaleInformacje.informacjaOCzasieNaJakiZostalUtworzonyPodmiot[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.pozostaleInformacje.informacjaOLiczbieUdzialow[0].informacjaOLiczbieUdzialow,no_change,WIĘKSZĄ LICZBĘ UDZIAŁÓW,WIĘKSZĄ LICZBĘ UDZIAŁÓW
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.pozostaleInformacje.informacjaOLiczbieUdzialow[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adresDoDoreczenElektronicznychWpisanyDoBAE[0].adresDoDoreczenElektronicznychWpisanyDoBAE,no_change,AE:PL-97320-41234-IJHJA-28,AE:PL-97320-41234-IJHJA-28
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adresDoDoreczenElektronicznychWpisanyDoBAE[0].nrWpisuWprow,no_change,69,69
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].kodPocztowy,no_change,00-121,00-121
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].kraj,no_change,POLSKA,POLSKA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].miejscowosc,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].nrDomu,no_change,39,39
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].nrWpisuWykr,no_change,23,23
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].poczta,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[0].ulica,no_change,SIENNA,SIENNA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].kodPocztowy,no_change,00-103,00-103
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].kraj,no_change,POLSKA,POLSKA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].miejscowosc,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].nrDomu,no_change,16,16
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].nrWpisuWprow,no_change,23,23
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].nrWpisuWykr,no_change,59,59
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].poczta,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[1].ulica,no_change,UL. KRÓLEWSKA,UL. KRÓLEWSKA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].kodPocztowy,no_change,00-499,00-499
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].kraj,no_change,POLSKA,POLSKA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].miejscowosc,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].nrDomu,no_change,10/14,10/14
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].nrWpisuWprow,no_change,59,59
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].poczta,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.adres[2].ulica,no_change,PLAC TRZECH KRZYŻY,PLAC TRZECH KRZYŻY
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].gmina,no_change,WARSZAWA-CENTRUM,WARSZAWA-CENTRUM
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].kraj,no_change,POLSKA,POLSKA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].miejscowosc,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].nrWpisuWykr,no_change,23,23
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].powiat,no_change,WARSZAWSKI,WARSZAWSKI
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[0].wojewodztwo,no_change,MAZOWIECKIE,MAZOWIECKIE
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[1].gmina,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[1].kraj,no_change,POLSKA,POLSKA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[1].miejscowosc,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[1].nrWpisuWprow,no_change,23,23
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[1].powiat,no_change,WARSZAWA,WARSZAWA
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.siedzibaIAdres.siedziba[1].wojewodztwo,no_change,MAZOWIECKIE,MAZOWIECKIE
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[0].pozycja[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[0].pozycja[0].zawarcieZmianaUmowyStatutu,no_change,"AKT NOTARIALNY Z 31.07.1997R.; NOTARIUSZ JADWIGA ZACHARZEWSKA; KANCELARIA NOTARIALNA UL. JASNA 26, WARSZAWA; REP. A-3345/97","AKT NOTARIALNY Z 31.07.1997R.; NOTARIUSZ JADWIGA ZACHARZEWSKA; KANCELARIA NOTARIALNA UL. JASNA 26, WARSZAWA; REP. A-3345/97"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[1].pozycja[0].nrWpisuWprow,no_change,5,5
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[1].pozycja[0].zawarcieZmianaUmowyStatutu,no_change,"AKT NOTARIALNY SPORZĄDZONY 26 SIERPNIA 2002R., REP.A NR 22310/2002; MARIUSZ BIAŁECKI ASESOR NOTARIALNY ZASTĘPCA ROBERTA BŁASZCZAKA; KANCELARIA NOTARIALNA W WARSZAWIE PRZY UL.DŁUGIEJ 31 PAR.2.1 - ZMIENIONY, PAR.2.9 - ZMIENIONY, PAR.2.2 - ZMIENIONY, PAR.6 ZMIANA PODPUNKTÓW PAR.6 PODPUNKT 5 ZMIENIONY PAR.5.17 - DODANY","AKT NOTARIALNY SPORZĄDZONY 26 SIERPNIA 2002R., REP.A NR 22310/2002; MARIUSZ BIAŁECKI ASESOR NOTARIALNY ZASTĘPCA ROBERTA BŁASZCZAKA; KANCELARIA NOTARIALNA W WARSZAWIE PRZY UL.DŁUGIEJ 31 PAR.2.1 - ZMIENIONY, PAR.2.9 - ZMIENIONY, PAR.2.2 - ZMIENIONY, PAR.6 ZMIANA PODPUNKTÓW PAR.6 PODPUNKT 5 ZMIENIONY PAR.5.17 - DODANY"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[2].pozycja[0].nrWpisuWprow,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[2].pozycja[0].zawarcieZmianaUmowyStatutu,no_change,"AKT NOTARIALNY Z DNIA 19 STYCZNIA 2005 ROKU, REP. A NR 248/2005, NOTARIUSZ W WARSZAWIE MAŁGORZATA BRYLEWSKA-IWAŃCZYK Z KANCELARII NOTARIALNEJ PRZY UL. ELEKTORALNEJ 11 M. 7, ZMIENIONO PAR. 1.1, 2.9, 4.2 ORAZ 7.1","AKT NOTARIALNY Z DNIA 19 STYCZNIA 2005 ROKU, REP. A NR 248/2005, NOTARIUSZ W WARSZAWIE MAŁGORZATA BRYLEWSKA-IWAŃCZYK Z KANCELARII NOTARIALNEJ PRZY UL. ELEKTORALNEJ 11 M. 7, ZMIENIONO PAR. 1.1, 2.9, 4.2 ORAZ 7.1"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[3].pozycja[0].nrWpisuWprow,no_change,45,45
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[3].pozycja[0].zawarcieZmianaUmowyStatutu,no_change,"AKT NOTARIALNY Z DNIA 15 WRZEŚNIA 2021 ROKU, REP. A NUMER 10958/2021, AGNIESZKA LISOWSKA NOTARIUSZ W WARSZAWIE, PROWADZĄCA KANCELARIĘ NOTARIALNĄ ARTUR KOZAK NOTARIUSZ AGNIESZKA LISOWSKA NOTARIUSZ SPÓŁKA CYWILNA, PRZY ALEI JANA PAWŁA II 61 LOK. 4, WARSZAWA ZMIANA PAR. 1.6, PAR. 5.1, PAR. 5.10, PAR. 5.13, PAR. 5.16, PAR. 6.3, PAR. 9.2 AKTU ZAŁOŻYCIELSKIEGO SPÓŁKI I PRZYJĘCIE TEKSTU JEDNOLITEGO AKTU ZAŁOŻYCIELSKIEGO SPÓŁKI","AKT NOTARIALNY Z DNIA 15 WRZEŚNIA 2021 ROKU, REP. A NUMER 10958/2021, AGNIESZKA LISOWSKA NOTARIUSZ W WARSZAWIE, PROWADZĄCA KANCELARIĘ NOTARIALNĄ ARTUR KOZAK NOTARIUSZ AGNIESZKA LISOWSKA NOTARIUSZ SPÓŁKA CYWILNA, PRZY ALEI JANA PAWŁA II 61 LOK. 4, WARSZAWA ZMIANA PAR. 1.6, PAR. 5.1, PAR. 5.10, PAR. 5.13, PAR. 5.16, PAR. 6.3, PAR. 9.2 AKTU ZAŁOŻYCIELSKIEGO SPÓŁKI I PRZYJĘCIE TEKSTU JEDNOLITEGO AKTU ZAŁOŻYCIELSKIEGO SPÓŁKI"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[4].pozycja[0].nrWpisuWprow,no_change,70,70
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[4].pozycja[0].zawarcieZmianaUmowyStatutu,no_change,"AKT NOTARIALNY Z DNIA 29 MAJA 2025 R., REP. A NR 5271/2025, SPORZĄDZONY PRZEZ PAWŁA SAWICKIEGO NOTARIUSZA W WARSZAWIE, PROWADZĄCEGO KANCELARIĘ NOTARIALNĄ W WARSZAWIE PRZY UL. ŁUCKIEJ 20/23, 00-845 WARSZAWA - ZMIENIONO § 1 UST. 6 ORAZ DODANO § 8.3 I § 8.4 ORAZ PRZYJĘTO NOWY TEKST JEDNOLITY AKTU ZAŁOŻYCIELSKIEGO","AKT NOTARIALNY Z DNIA 29 MAJA 2025 R., REP. A NR 5271/2025, SPORZĄDZONY PRZEZ PAWŁA SAWICKIEGO NOTARIUSZA W WARSZAWIE, PROWADZĄCEGO KANCELARIĘ NOTARIALNĄ W WARSZAWIE PRZY UL. ŁUCKIEJ 20/23, 00-845 WARSZAWA - ZMIENIONO § 1 UST. 6 ORAZ DODANO § 8.3 I § 8.4 ORAZ PRZYJĘTO NOWY TEKST JEDNOLITY AKTU ZAŁOŻYCIELSKIEGO"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[5].pozycja[0].nrWpisuWprow,no_change,71,71
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.umowaStatut.informacjaOZawarciuZmianieUmowyStatutu[5].pozycja[0].zawarcieZmianaUmowyStatutu,no_change,"AKT NOTARIALNY Z DNIA 17 GRUDNIA 2025 R., REP. A NR 14922/2025, SPORZĄDZONY PRZEZ ALEKSANDRĘ PODGÓRSKĄ ZASTĘPCE NOTARIALNEGO PAWŁA SAWICKIEGO NOTARIUSZA W WARSZAWIE, PROWADZĄCEGO KANCELARIĘ NOTARIALNĄ W WARSZAWIE PRZY UL. ŁUCKIEJ 20/23, 00-845 WARSZAWA - ZMIENIONO § 2 ORAZ PRZYJĘTO NOWY TEKST JEDNOLITY AKTU ZAŁOŻYCIELSKIEGO","AKT NOTARIALNY Z DNIA 17 GRUDNIA 2025 R., REP. A NR 14922/2025, SPORZĄDZONY PRZEZ ALEKSANDRĘ PODGÓRSKĄ ZASTĘPCE NOTARIALNEGO PAWŁA SAWICKIEGO NOTARIUSZA W WARSZAWIE, PROWADZĄCEGO KANCELARIĘ NOTARIALNĄ W WARSZAWIE PRZY UL. ŁUCKIEJ 20/23, 00-845 WARSZAWA - ZMIENIONO § 2 ORAZ PRZYJĘTO NOWY TEKST JEDNOLITY AKTU ZAŁOŻYCIELSKIEGO"
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].czyPosiadaCaloscUdzialow[0].czyPosiadaCaloscUdzialow,no_change,True,True
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].czyPosiadaCaloscUdzialow[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].czyPosiadaCaloscUdzialow[0].nrWpisuWykr,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].nazwa[0].nazwa,no_change,"AMERICAM MANAGEMENT SYSTEMS, INC.","AMERICAM MANAGEMENT SYSTEMS, INC."
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].nazwa[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].nazwa[0].nrWpisuWykr,no_change,2,2
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].nazwa[1].nazwa,no_change,"AMERICAN MANAGEMENT SYSTEMS, INC.","AMERICAN MANAGEMENT SYSTEMS, INC."
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].nazwa[1].nrWpisuWprow,no_change,2,2
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].nazwa[1].nrWpisuWykr,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].posiadaneUdzialy[0].nrWpisuWprow,no_change,1,1
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].posiadaneUdzialy[0].nrWpisuWykr,no_change,5,5
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].posiadaneUdzialy[0].posiadaneUdzialy,no_change,80 UDZIAŁÓW O ŁĄCZNEJ WYSOKOŚCI 4.000 ZŁ,80 UDZIAŁÓW O ŁĄCZNEJ WYSOKOŚCI 4.000 ZŁ
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].posiadaneUdzialy[1].nrWpisuWprow,no_change,5,5
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].posiadaneUdzialy[1].nrWpisuWykr,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[0].posiadaneUdzialy[1].posiadaneUdzialy,no_change,80 UDZIAŁÓW O ŁĄCZNEJ WYSOKOŚCI 50.000 ZŁ,80 UDZIAŁÓW O ŁĄCZNEJ WYSOKOŚCI 50.000 ZŁ
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].czyPosiadaCaloscUdzialow[0].czyPosiadaCaloscUdzialow,no_change,True,True
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].czyPosiadaCaloscUdzialow[0].nrWpisuWprow,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].czyPosiadaCaloscUdzialow[0].nrWpisuWykr,no_change,71,71
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].czyPosiadaCaloscUdzialow[1].czyPosiadaCaloscUdzialow,no_change,True,True
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].czyPosiadaCaloscUdzialow[1].nrWpisuWprow,no_change,71,71
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].nazwa[0].nazwa,no_change,INFORMATION MANAGEMENT RESOURCES UK HOLDING COMPANY LIMITED,INFORMATION MANAGEMENT RESOURCES UK HOLDING COMPANY LIMITED
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].nazwa[0].nrWpisuWprow,no_change,8,8
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].nazwa[0].nrWpisuWykr,no_change,13,13
CGI Information Systems and Management Consultants (Polska) Sp. z o.o.,0000078664,root.odpis.dane.dzial1.wspolnicySpzoo[1].nazwa[1].nazwa,no_change,CGI GROUP HOLDINGS EUROPE LIMITED,CGI GROUP HOLDINGS EUROPE LIMITED
